506
506 1280
      col_name  feature_importance_vals
599        600                 1.934604
8            9                 1.934028
132        133                 1.933558
1097      1098                 1.928998
755        756                 1.928760
317        318                 1.928489
24          25                 1.916934
1062      1063                 1.916526
713        714                 1.913695
184        185                 1.900718
482        483                 1.899254
854        855                 1.898344
155        156                 1.894452
616        617                 1.891401
458        459                 1.884200
911        912                 1.878721
401        402                 1.878410
359        360                 1.874562
930        931                 1.873341
1070      1071                 1.871665
121        122                 1.869225
862        863                 1.867632
139        140                 1.866331
924        925                 1.864352
681        682                 1.863922
27          28                 1.862529
895        896                 1.862064
585        586                 1.861565
274        275                 1.856980
1141      1142                 1.854526
313        314                 1.853426
532        533                 1.853374
164        165                 1.846365
1223      1224                 1.845097
1193      1194                 1.842435
199        200                 1.841894
136        137                 1.835563
1267      1268                 1.822837
506        507                 1.821990
509        510                 1.821630
10          11                 1.821610
953        954                 1.821499
679        680                 1.820918
305        306                 1.820916
62          63                 1.818746
61          62                 1.818199
1142      1143                 1.816833
689        690                 1.814131
298        299                 1.811970
34          35                 1.810732
853        854                 1.809133
581        582                 1.808885
804        805                 1.807052
1017      1018                 1.805805
485        486                 1.804740
825        826                 1.803981
210        211                 1.803239
451        452                 1.802547
1106      1107                 1.796789
790        791                 1.796277
1022      1023                 1.793721
1195      1196                 1.792455
1049      1050                 1.789570
168        169                 1.787217
504        505                 1.778283
266        267                 1.773680
95          96                 1.773618
489        490                 1.772004
105        106                 1.769869
573        574                 1.766542
1189      1190                 1.761310
774        775                 1.756504
17          18                 1.756208
821        822                 1.755210
718        719                 1.753989
253        254                 1.752400
797        798                 1.745480
146        147                 1.741778
356        357                 1.738162
982        983                 1.736617
753        754                 1.733942
653        654                 1.732027
831        832                 1.726439
42          43                 1.725039
534        535                 1.722626
362        363                 1.720544
302        303                 1.717397
189        190                 1.713561
1265      1266                 1.710079
810        811                 1.709914
959        960                 1.708447
661        662                 1.704102
759        760                 1.693381
786        787                 1.691310
195        196                 1.688825
453        454                 1.686599
340        341                 1.684559
375        376                 1.682429
761        762                 1.682125
1074      1075                 1.680137
596        597                 1.679448
740        741                 1.678575
118        119                 1.673049
757        758                 1.672799
204        205                 1.670195
259        260                 1.669665
1168      1169                 1.666101
46          47                 1.658985
858        859                 1.658242
662        663                 1.658229
814        815                 1.655988
264        265                 1.653861
914        915                 1.651578
916        917                 1.650313
965        966                 1.644071
86          87                 1.640000
915        916                 1.638231
541        542                 1.638113
31          32                 1.635886
232        233                 1.630414
263        264                 1.629748
420        421                 1.624892
382        383                 1.618358
1198      1199                 1.618182
235        236                 1.615741
82          83                 1.614688
106        107                 1.613584
293        294                 1.611766
917        918                 1.609600
527        528                 1.607500
429        430                 1.600602
1184      1185                 1.597867
793        794                 1.592564
265        266                 1.591826
220        221                 1.591256
238        239                 1.589326
687        688                 1.588607
457        458                 1.588373
49          50                 1.582317
505        506                 1.576861
870        871                 1.575163
1233      1234                 1.569163
440        441                 1.566545
446        447                 1.562200
16          17                 1.561323
178        179                 1.560317
